"","gauge","yeartype","period","avg","sd","valtype"
"1",11186000,"all","April",2,1.22474487139159,"intraannual_frequency_numpeaks"
"2",11189500,"all","April",3.12280701754386,1.70157674188422,"intraannual_frequency_numpeaks"
"3",11192500,"all","April",3.3,1.94650684275419,"intraannual_frequency_numpeaks"
"4",11192501,"all","April",3.4,2.01108041719978,"intraannual_frequency_numpeaks"
"5",11202001,"all","April",2.65789473684211,1.38087938666347,"intraannual_frequency_numpeaks"
"6",11214600,"all","April",2.11111111111111,1.16666666666667,"intraannual_frequency_numpeaks"
"7",11215000,"all","April",2.94285714285714,1.28206765772778,"intraannual_frequency_numpeaks"
"8",11218400,"all","April",2.68965517241379,1.92916429493377,"intraannual_frequency_numpeaks"
"9",11224500,"all","April",2.57142857142857,1.73052275186112,"intraannual_frequency_numpeaks"
"10",11230500,"all","April",1.28571428571429,0.755928946018454,"intraannual_frequency_numpeaks"
"11",11234760,"all","April",3.25,2.25198325291921,"intraannual_frequency_numpeaks"
"12",11237500,"all","April",2.08474576271186,1.10310120199154,"intraannual_frequency_numpeaks"
"13",11242000,"all","April",2.68181818181818,1.70115825070432,"intraannual_frequency_numpeaks"
"14",11246500,"all","April",3.74074074074074,2.36305852319522,"intraannual_frequency_numpeaks"
"15",11251000,"all","April",4.21621621621622,1.63529024157003,"intraannual_frequency_numpeaks"
"16",11261500,"all","April",2.83333333333333,2.03752672412294,"intraannual_frequency_numpeaks"
"17",11264500,"all","April",1.75,0.892475001278454,"intraannual_frequency_numpeaks"
"18",11266500,"all","April",1.92307692307692,0.967028069956847,"intraannual_frequency_numpeaks"
"19",11270900,"all","April",3.20454545454545,1.67858669033077,"intraannual_frequency_numpeaks"
"20",11274000,"all","April",2.3,1.4656997857914,"intraannual_frequency_numpeaks"
"21",11274500,"all","April",2.20689655172414,1.20650943826832,"intraannual_frequency_numpeaks"
"22",11274630,"all","April",2.25,1.33278497495796,"intraannual_frequency_numpeaks"
"23",11276500,"all","April",2.17391304347826,1.07247267026181,"intraannual_frequency_numpeaks"
"24",11277300,"all","April",2.16666666666667,1.32916013582513,"intraannual_frequency_numpeaks"
"25",11278300,"all","April",2.35,1.53125335660212,"intraannual_frequency_numpeaks"
"26",11290000,"all","April",3.625,2.46386935000885,"intraannual_frequency_numpeaks"
"27",11292000,"all","April",1.4,0.547722557505166,"intraannual_frequency_numpeaks"
"28",11292700,"all","April",1.83333333333333,1.2485285456936,"intraannual_frequency_numpeaks"
"29",11292900,"all","April",2.90909090909091,1.81408629643385,"intraannual_frequency_numpeaks"
"30",11294000,"all","April",2.53571428571429,1.17006308336244,"intraannual_frequency_numpeaks"
"31",11294500,"all","April",2.95522388059702,1.37546505436696,"intraannual_frequency_numpeaks"
"32",11296500,"all","April",1.9047619047619,1.26114082896249,"intraannual_frequency_numpeaks"
"33",11298000,"all","April",2.15384615384615,1.31733997714509,"intraannual_frequency_numpeaks"
"34",11302000,"all","April",4.875,2.18708329364323,"intraannual_frequency_numpeaks"
"35",11303000,"all","April",3.57692307692308,1.7927203222606,"intraannual_frequency_numpeaks"
"36",11303500,"all","April",2.39130434782609,1.07615183259539,"intraannual_frequency_numpeaks"
"37",11314500,"all","April",2.88888888888889,1.90814717488606,"intraannual_frequency_numpeaks"
"38",11315000,"all","April",2.41791044776119,1.10301588948888,"intraannual_frequency_numpeaks"
"39",11316800,"all","April",3.36,1.57797338380595,"intraannual_frequency_numpeaks"
"40",11317000,"all","April",3.16363636363636,1.59587009082862,"intraannual_frequency_numpeaks"
"41",11318500,"all","April",2.97727272727273,1.53241922073436,"intraannual_frequency_numpeaks"
"42",11319500,"all","April",3.5625,2.35464537429942,"intraannual_frequency_numpeaks"
"43",11323500,"all","April",3.51282051282051,1.74524609743749,"intraannual_frequency_numpeaks"
